,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP,_merge
50,PA,Publica,Rural,0.7208620436886087,0.10027855153203342,0.06861164052191761,0.011875091628793431,0.054830669989737575,0.35991790060108486,0.3185749890045448,0.2764990470605483,0.0,0.008942970238967894,0.0,0.22328104383521477,0.0,0.1259346136930069,0.0,0.0508723061134731,0.0,0.5286614865855447,0.15232370620143673,0.043395396569417974,1.0,1.0,-0.269327,-0.508374,both
51,PA,Publica,Urbana,0.9446972348617431,0.0,0.32306615330766536,0.11550577528876443,0.33251662583129155,0.9341967098354917,0.6373818690934546,0.6902345117255863,1.0,0.04305215260763038,0.0,0.7388869443472174,1.0,0.4914245712285614,0.0,0.13265663283164159,0.0,0.96044802240112,0.4287714385719286,0.15750787539376968,1.0,1.0,-0.3253815,-0.430803,both
52,PB,Privada,Rural,1.0,0.0,0.5,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,1.0,0.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,1.0,0.528484,0.226706,both
53,PB,Privada,Urbana,0.9855875831485588,0.0,0.5011086474501109,0.16186252771618626,0.1662971175166297,0.9290465631929047,0.7361419068736141,0.9101995565410199,1.0,0.06208425720620843,0.0,0.5643015521064302,1.0,0.4556541019955654,0.0,0.4700665188470067,0.0,0.958980044345898,0.3148558758314856,0.3924611973392461,1.0,1.0,0.70541,0.47216,both
54,PB,Publica,Rural,0.985414235705951,0.0,0.12252042007001167,0.008751458576429404,0.13127187864644108,0.6522753792298717,0.44807467911318555,0.6697782963827305,1.0,0.021586931155192533,0.0,0.35764294049008166,0.0,0.3792298716452742,0.0,0.30513418903150524,0.0,0.8156359393232205,0.2619603267211202,0.13593932322053676,1.0,1.0,-0.032284,-0.099944,both
55,PB,Publica,Urbana,0.9907497565725414,0.0,0.436222005842259,0.1450827653359299,0.2779941577409932,0.9483933787731256,0.6372930866601753,0.8802336903602727,2.0,0.1002921129503408,0.0,0.7283349561830574,1.0,0.6095423563777994,1.0,0.41918208373904575,0.0,0.9756572541382668,0.4323271665043817,0.30671859785783834,1.0,1.0,0.029391,-0.212764,both
56,PE,Privada,Rural,0.9565217391304348,0.0,0.37681159420289856,0.13043478260869565,0.2463768115942029,0.927536231884058,0.8115942028985508,0.6086956521739131,1.0,0.043478260869565216,0.0,0.7391304347826086,1.0,0.391304347826087,0.0,0.2463768115942029,0.0,0.9130434782608695,0.2463768115942029,0.37681159420289856,1.0,1.0,0.305938,0.189823,both
57,PE,Privada,Urbana,0.9861376673040153,0.0,0.7079349904397706,0.21845124282982792,0.2939770554493308,0.9383365200764818,0.8173996175908221,0.8819311663479924,1.0,0.07982791586998088,0.0,0.6802103250478011,1.0,0.5611854684512428,1.0,0.5095602294455067,1.0,0.97131931166348,0.4024856596558317,0.43164435946462715,1.0,1.0,0.36144750000000003,0.22544,both
58,PE,Publica,Rural,0.941468605888613,0.002837885775097552,0.17559418233416105,0.024831500532103583,0.08726498758424973,0.5846044696700958,0.43809861653068466,0.5963107484923732,1.0,0.0837176303653778,0.0,0.4728627172756297,0.0,0.24157502660517916,0.0,0.2547002483150053,0.0,0.8095069173465768,0.274210713018801,0.15289109613338064,1.0,1.0,0.58617,-0.088729,both
59,PE,Publica,Urbana,0.9845191040843215,0.0,0.5586297760210803,0.17028985507246377,0.3241106719367589,0.9482872200263505,0.6693017127799736,0.8000658761528326,1.0,0.1600790513833992,0.0,0.836627140974967,2.0,0.4696969696969697,0.0,0.40019762845849804,0.0,0.9802371541501976,0.4505928853754941,0.4575098814229249,1.0,1.0,0.131472,-0.251614,both
60,PI,Privada,Urbana,0.9896694214876033,0.0,0.7975206611570248,0.4359504132231405,0.4194214876033058,0.9896694214876033,0.9070247933884298,0.8966942148760331,1.0,0.05578512396694215,0.0,0.8574380165289256,1.0,0.7045454545454546,2.0,0.6239669421487604,1.0,0.9855371900826446,0.5165289256198347,0.5227272727272727,1.0,1.0,0.809935,0.591827,both
61,PI,Publica,Rural,0.944,0.011428571428571429,0.07142857142857142,0.008571428571428572,0.07542857142857143,0.5908571428571429,0.5234285714285715,0.5371428571428571,1.0,0.046857142857142854,0.0,0.4177142857142857,0.0,0.2925714285714286,0.0,0.24514285714285713,0.0,0.8205714285714286,0.28114285714285714,0.12514285714285714,1.0,1.0,0.20460499999999998,0.011297,both
62,PI,Publica,Urbana,0.9882232462877624,0.0056323604710701485,0.2974910394265233,0.07680491551459294,0.2831541218637993,0.9022017409114184,0.7286226318484383,0.7562724014336918,1.0,0.1111111111111111,0.0,0.7511520737327189,1.0,0.5775729646697388,1.0,0.45212493599590375,0.0,0.974910394265233,0.391705069124424,0.3630312339989759,1.0,1.0,-0.267916,-0.436596,both
63,PR,Privada,Rural,1.0,0.0,0.7272727272727273,0.45454545454545453,0.2727272727272727,1.0,0.7272727272727273,0.9090909090909091,2.0,0.18181818181818182,0.0,0.9090909090909091,1.0,0.7272727272727273,1.0,0.7272727272727273,2.0,1.0,0.5454545454545454,0.2727272727272727,1.0,1.0,0.64097,0.421491,both
64,PR,Privada,Urbana,0.9915611814345991,0.0,0.6329113924050633,0.33145804031879983,0.40318799812470696,0.9882794186591655,0.8471636193155181,0.8945147679324894,2.0,0.12236286919831224,0.0,0.782934833567745,1.0,0.6680731364275668,2.0,0.5874355368026254,1.0,0.9967182372245663,0.5405532114392874,0.5311767463666198,1.0,1.0,0.798373,0.5506755,both
65,PR,Publica,Rural,0.9798994974874372,0.002512562814070352,0.5083752093802345,0.16415410385259632,0.40871021775544386,0.9597989949748744,0.7043551088777219,0.8877721943048577,2.0,0.022613065326633167,0.0,0.7177554438860971,1.0,0.6306532663316583,3.0,0.48408710217755446,0.0,0.9539363484087102,0.5134003350083752,0.35678391959798994,1.0,1.0,-0.10690849999999999,-0.1600745,both
