ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;2;1;1;1;1;1.777764;0.88775
4;41;2;1;1;1;1;0.048451;0.17718
4;41;2;1;1;1;1;1.224859;1.072596
4;41;2;1;1;1;1;-0.005188;0.497843
4;41;2;1;1;1;1;0.44759;0.306776
4;41;2;1;1;1;1;-0.266032;1.074623
4;41;2;1;1;1;1;0.667348;1.230407
4;41;2;1;1;1;1;-0.900534;-0.204658
4;41;2;1;1;1;1;0.017367;0.597943
4;41;2;1;1;1;1;0.601446;0.895745
4;41;2;1;1;1;1;0.962581;0.761161
4;41;2;1;1;1;1;0.930745;0.756229
4;41;2;1;1;1;1;1.237599;1.074228
4;41;2;1;1;1;1;-1.307314;-1.492497
4;41;2;1;1;1;1;0.46115;0.885175
4;41;2;1;1;1;1;1.362987;0.569017
4;41;2;1;1;1;1;0.670098;0.667346
4;41;2;1;1;1;1;-0.021739;-0.469876
4;41;2;1;1;1;1;1.071482;1.081882
4;41;2;1;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;1;1;-1.434712;-0.940661
4;41;2;0;1;1;1;0.543268;0.817071
4;41;2;0;1;1;1;1.192263;0.209223
4;41;2;0;1;0;1;1.034376;
4;41;2;0;1;1;1;0.995324;-0.066408
4;41;2;0;1;1;1;1.297968;1.105948
4;41;2;0;1;1;1;1.297968;0.982461
4;41;2;0;1;1;1;0.786041;-0.359562
4;41;2;0;1;1;1;0.452253;0.446124
4;41;2;0;1;1;1;1.198795;0.4383
4;41;2;0;1;1;1;0.326292;-0.912122
4;41;2;0;1;1;1;-0.795375;-1.216707
4;41;2;0;1;1;1;1.736825;0.489263
4;41;2;0;1;1;1;0.78449;1.110317
4;41;2;0;1;1;0;;0.510136
4;41;2;0;1;1;1;0.750758;0.576506
4;41;2;0;1;1;1;0.992914;0.194687
4;41;2;0;1;0;1;1.034376;
4;41;2;0;1;1;1;1.192263;0.144648
4;41;2;0;1;0;1;0.465576;
4;41;2;0;1;1;1;0.482824;-0.109626
4;41;2;0;1;1;1;0.732806;0.126077
4;41;2;0;1;1;1;1.446867;1.124405
4;41;2;0;1;1;1;0.465976;-0.155454
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;1;1;0.221465;-0.140425
4;41;2;0;1;1;1;0.620262;1.086859
4;41;2;0;1;1;1;1.529934;0.26442
4;41;2;0;1;1;1;1.275426;0.304482
4;41;2;0;1;1;1;0.990716;0.627776
4;41;2;0;1;1;1;0.407755;0.840807
4;41;2;0;1;1;1;-0.637077;-0.443284
4;41;2;0;1;1;1;0.325657;0.496539
4;41;2;0;1;0;1;0.682959;
4;41;2;0;1;0;0;;
4;41;2;0;1;1;1;0.620262;0.524845
4;41;2;0;1;1;1;1.174542;1.372766
4;41;2;0;1;1;1;0.324743;0.327073
4;41;2;0;1;1;1;0.3517;1.193645
4;41;2;0;1;1;1;1.118467;0.627776
4;41;2;0;1;1;1;0.869177;0.862095
4;41;2;0;1;1;1;0.888525;0.712744
4;41;2;1;1;0;1;0.755072;
4;41;2;1;1;0;0;;
4;41;2;1;1;0;0;;
4;41;2;1;1;1;1;-0.679332;-1.851603
4;41;2;1;1;1;1;-0.571446;-0.065884
4;41;2;1;1;1;1;-1.845024;-1.201714
4;41;2;1;1;1;1;-0.855569;0.951634
4;41;2;1;1;0;0;;
4;41;2;1;1;1;1;-0.556387;-0.627728
